year,month,type,ft_rate
2019,1,1,-0.116
2019,2,1,-0.116
2019,3,1,-0.116
2019,4,1,-0.116
2019,5,1,-0.116
2019,6,1,-0.116
2019,7,1,-0.116
2019,8,1,-0.116
2019,9,1,-0.116
2019,10,1,-0.116
2019,11,1,-0.116
2019,12,1,-0.116
2020,1,1,-0.116
2020,2,1,-0.116
2020,3,1,-0.116
2020,4,1,-0.116
2020,5,1,-0.116
2020,6,1,-0.116
2020,7,1,-0.116
2020,8,1,-0.116
2020,9,1,-0.1243
2020,10,1,-0.1243
2020,11,1,-0.1243
2020,12,1,-0.1243
2021,1,1,-0.1532
2021,2,1,-0.1532
2021,3,1,-0.1532
2021,4,1,-0.1532
2021,5,1,-0.1532
2021,6,1,-0.1532
2021,7,1,-0.1532
2021,8,1,-0.1532
2021,9,1,-0.1532
2021,10,1,-0.1532
2021,11,1,-0.1532
2021,12,1,-0.1532
2022,1,1,0.0139
2022,2,1,0.0139
2022,3,1,0.0139
2022,4,1,0.0139
2022,5,1,0.2477
2022,6,1,0.2477
2022,7,1,0.2477
2022,8,1,0.2477
2022,9,1,0.9343
2022,10,1,0.9343
2022,11,1,0.9343
2022,12,1,0.9343
2023,1,1,0.9343
2023,2,1,0.9343
2023,3,1,0.9343
2023,4,1,0.9343
2023,5,1,0.9119
2023,6,1,0.9119
2023,7,1,0.9119
2023,8,1,0.9119
2023,9,1,0.2048
2023,10,1,0.2048
2023,11,1,0.2048
2023,12,1,0.2048
2024,1,1,0.3972
2024,2,1,0.3972
2024,3,1,0.3972
2024,4,1,0.3972
2024,5,1,0.3972
2024,6,1,0.3972
2024,7,1,0.3972
2024,8,1,0.3972
2024,9,1,0.3972
2024,10,1,0.3972
2024,11,1,0.3972
2024,12,1,0.3972
2025,1,1,0.3672
2025,2,1,0.3672
2025,3,1,0.3672
2025,4,1,0.3672
2025,5,1,0.1972
2025,6,1,0.1972
2025,7,1,0.1972
2025,8,1,0.1972
2025,9,1,0.1572
2025,10,1,0.1572
2025,11,1,0.1572
2025,12,1,0.1572
2026,1,1,0.0972
2026,2,1,0.0972
2026,3,1,0.0972
2026,4,1,0.0972
2026,5,1,0.1623
2026,6,1,0.1623
2026,7,1,0.1623
2026,8,1,0.1623
2026,9,1,0.1623
2026,10,1,0.1623
2026,11,1,0.1623
2026,12,1,0.1623
