Month Year,Year,Usage Month,On Peak unit,Off Peak unit,หน่วย,OnPeak,OffPeak,จำนวนเงิน
2020-05-08,2020,4,,,946,,,4393.59
2020-06-08,2020,5,,,843,,,3895.26
2020-07-08,2020,6,,,811,,,3740.44
2020-08-08,2020,7,,,944,,,4383.92
2020-09-08,2020,8,,,744,,,3416.27
2020-10-08,2020,9,,,12,,,69.34
2020-11-08,2020,10,,,65,,,259.22
2020-12-08,2020,11,,,23,,,108.75
2021-01-08,2020,12,,,15,,,80.09
2021-02-08,2021,1,,,18,,,90.83
2021-03-08,2021,2,,,22,,,105.16
2021-04-08,2021,3,,,45,,,187.57
2021-05-08,2021,4,,,111,,,424.03
2021-06-08,2021,5,,,117,,,445.53
2021-07-08,2021,6,,,78,,,305.8
2021-08-08,2021,7,,,69,,,273.56
2021-09-08,2021,8,,,90,,,348.79
2021-10-08,2021,9,,,95,,,366.71
2021-11-08,2021,10,,,68,,,269.97
2021-12-08,2021,11,,,28,,,126.66
2022-01-08,2021,12,,,14,,,76.5
2022-02-08,2022,1,,,28,,,126.66
2022-03-08,2022,2,,,18,,,90.83
2022-04-08,2022,3,,,78,,,305.8
2022-05-08,2022,4,,,75,,,295.05
2022-06-08,2022,5,,,138,,,520.77
2022-07-08,2022,6,,,104,,,398.95
2022-08-08,2022,7,,,65,,,259.22
2022-09-08,2022,8,,,98,,,377.46
2022-10-08,2022,9,,,58,,,234.15
2022-11-08,2022,10,,,72,,,284.3
2022-12-08,2022,11,,,45,,,187.57
2023-01-08,2022,12,,,23,,,108.75
2023-02-08,2023,1,,,26,,,119.5
2023-03-08,2023,2,,,49,,,201.9
2023-04-08,2023,3,,,54,,,219.81
2023-05-08,2023,4,,,93,,,359.54
2023-06-08,2023,5,,,116,,,441.95
2023-07-08,2023,6,,,110,,,420.45
2023-08-08,2023,7,,,79,,,309.38
2023-09-08,2023,8,,,100,,,384.62
2023-10-08,2023,9,,,67,,,266.39
2023-11-08,2023,10,,,61,,,244.89
2023-12-08,2023,11,,,38,,,162.49
2024-01-08,2023,12,,,20,,,98.0
2024-02-08,2024,1,,,18,,,90.83
2024-03-08,2024,2,,,25,,,115.91
2024-04-08,2024,3,,,41,,,173.24
2024-05-08,2024,4,,,72,,,284.3
2024-06-08,2024,5,,,134,,,506.44
2024-07-08,2024,6,,,93,,,359.54
2024-08-08,2024,7,,,94,,,363.13
2024-09-08,2024,8,,,122,,,463.44
2024-10-08,2024,9,,,84,,,327.3
2024-11-08,2024,10,,,64,,,255.64
2024-12-08,2024,11,,,37,,,158.91
2025-01-08,2024,12,,,15,,,80.09
2025-02-08,2025,1,,,201,,,799.6
2025-03-08,2025,2,,,259,,,1069.74
2025-04-08,2025,3,87,286,373,504.44,754.15,1412.95
2025-05-08,2025,4,99,286,385,574.02,754.15,1488.69
2025-06-08,2025,5,105,319,424,608.81,841.17,1623.19
2025-07-08,2025,6,95,273,368,550.83,719.87,1425.37
2025-08-08,2025,7,74,235,309,429.07,619.67,1181.56
2025-09-08,2025,8,96,267,363,556.63,704.05,1414.11
2025-10-08,2025,9,81,244,325,469.65,643.4,1252.09
2025-11-08,2025,10,80,233,313,463.86,614.4,1213.57
2025-12-08,2025,11,54,163,217,313.1,429.81,844.48
2026-01-08,2025,12,47,138,185,272.52,363.89,727.09
2026-02-08,2026,1,57,161,218,330.5,424.54,857.56
2026-03-08,2026,2,57,178,235,330.5,469.37,907.34
2026-04-08,2026,3,85,252,337,492.85,664.5,1300.76
2026-05-08,2026,4,95,295,390,550.83,777.89,1489.8
2026-06-08,2026,5,105,321,426,608.81,846.44,1629.05
2026-07-08,2026,6,87,259,346,504.44,682.96,1333.88
2026-08-08,2026,7,82,260,342,475.45,685.59,1305.26
2026-09-08,2026,8,87,262,349,504.44,690.87,1342.67
