Time,Today Yield(kWh),Energy to Grid(kWh),Energy from Grid(kWh),Energy to Battery(kWh),Energy from Battery(kWh),Load Consumption(kWh),Generation(kWh),GEN(kWh),Smart Load(kWh),AC Coupled(kWh)
2020-09-23,18.38,10.78,15.05,,,22.65,18.38,,,
2020-09-24,17.97,7.76,10.5,,,20.7,17.97,,,
2020-09-25,16.04,8.28,9.18,,,16.94,16.04,,,
2020-09-26,17.82,8.61,7.83,,,17.04,17.82,,,
2020-09-27,10.94,4.41,8.23,,,14.76,10.94,,,
2020-09-28,14.82,7.88,8.63,,,15.57,14.82,,,
2020-09-29,17.51,9.12,9.13,,,17.52,17.51,,,
2020-09-30,17.19,8.6,8.38,,,16.97,17.19,,,
2020-10-01,7.79,3.41,12.77,,,17.16,7.79,,,
2020-10-02,18.97,11.04,13.04,,,20.97,18.97,,,
2020-10-03,8.32,3.85,15.55,,,20.01,8.32,,,
2020-10-04,18.96,8.29,8.99,,,19.67,18.96,,,
2020-10-05,12.54,6.23,14.2,,,20.51,12.54,,,
2020-10-06,20.35,9.72,7.94,,,18.57,20.35,,,
2020-10-07,20.35,9.3,7.33,,,18.38,20.35,,,
2020-10-08,17.22,9.8,9.15,,,16.58,17.22,,,
2020-10-09,18.88,10.48,10.73,,,19.13,18.88,,,
2020-10-10,20.35,9.43,6.48,,,17.4,20.35,,,
2020-10-11,17.26,10.15,10.17,,,17.29,17.26,,,
2020-10-12,20.35,9.82,12.46,,,22.99,20.35,,,
2020-10-13,19.27,11.1,9.92,,,18.09,19.27,,,
2020-10-14,19.05,10.55,9.89,,,18.4,19.05,,,
2020-10-15,16.43,7.91,10.79,,,19.31,16.43,,,
2020-10-16,10.16,4.09,14.26,,,20.32,10.16,,,
2020-10-17,20.35,8.89,4.91,,,16.37,20.35,,,
2020-10-18,20.35,11.82,10.08,,,18.61,20.35,,,
2020-10-19,16.26,9.45,11.88,,,18.69,16.26,,,
2020-10-20,16.91,10.0,11.83,,,18.73,16.91,,,
2020-10-21,18.35,8.21,10.34,,,20.48,18.35,,,
2020-10-22,15.16,8.31,9.81,,,16.66,15.16,,,
2020-10-23,16.63,8.92,12.69,,,20.41,16.63,,,
2020-10-24,20.35,9.17,8.85,,,20.02,20.35,,,
2020-10-25,16.43,9.69,4.27,,,11.02,16.43,,,
2020-10-26,20.35,11.92,7.62,,,16.05,20.35,,,
2020-10-27,20.26,9.06,4.8,,,16.01,20.26,,,
2020-10-28,18.09,10.03,5.01,,,13.06,18.09,,,
2020-10-29,20.29,10.69,9.4,,,19.0,20.29,,,
2020-10-30,14.38,7.06,9.79,,,17.12,14.38,,,
2020-10-31,16.52,8.63,11.68,,,19.56,16.52,,,
2020-11-01,21.45,12.25,4.94,,,14.14,21.45,,,
2020-11-02,20.35,11.56,10.16,,,18.95,20.35,,,
2020-11-03,18.23,9.0,6.74,,,15.97,18.23,,,
2020-11-04,14.75,6.47,4.93,,,13.22,14.75,,,
2020-11-05,17.43,7.45,10.17,,,20.14,17.43,,,
2020-11-06,19.46,8.81,9.25,,,19.91,19.46,,,
2020-11-07,19.43,8.81,10.82,,,21.44,19.43,,,
2020-11-08,20.01,11.14,9.27,,,18.14,20.01,,,
2020-11-09,13.39,7.02,10.12,,,16.49,13.39,,,
2020-11-10,21.45,11.37,4.32,,,14.39,21.45,,,
2020-11-11,18.39,9.91,8.9,,,17.38,18.39,,,
2020-11-12,20.87,11.17,4.77,,,14.48,20.87,,,
2020-11-13,18.3,9.41,12.3,,,21.2,18.3,,,
2020-11-14,21.45,10.24,7.46,,,18.67,21.45,,,
