Time,Working State,Alarm Code,PV(W),MPPT1(W),MPPT2(W),MPPT1(V),MPPT2(V),Battery(W),Grid(W),Grid Load(W),Backup Load(W),SOC(%),SOH(%),Temp(C),GEN(W),Smart(W),AC Coupled(W),Today Yield(kWh),Today Energy to Battery(kWh),Today Energy from Battery(kWh),Today Energy from Grid(kWh),Today Grid Load(kWh),Today Backup Load(kWh),Total Grid Load(kWh),Total Backup Load(kWh)
2026-09-23 00:02:00,Normal,,0,0,0,22.1,22.0,-407,0,0,407,62,99,37.8,0,0,0,0.0,0.0,0.0,0.0,0,0.0,210,3400
2026-09-23 00:07:00,Normal,,0,0,0,22.1,22.0,-430,0,0,430,62,99,37.3,0,0,0,0.0,0.0,0.1,0.0,0,0.1,210,3400
2026-09-23 00:12:00,Normal,,0,0,0,22.1,22.0,-315,0,0,315,61,99,38.2,0,0,0,0.0,0.0,0.1,0.0,0,0.1,210,3400
2026-09-23 00:17:00,Normal,,0,0,0,22.1,22.0,-397,0,0,397,61,99,38.2,0,0,0,0.0,0.0,0.1,0.0,0,0.1,210,3400
2026-09-23 00:22:00,Normal,,0,0,0,22.1,22.0,-345,0,0,345,61,99,38.9,0,0,0,0.0,0.0,0.2,0.0,0,0.2,210,3400
2026-09-23 00:27:00,Normal,,0,0,0,22.1,22.0,-404,0,0,404,61,99,38.8,0,0,0,0.0,0.0,0.2,0.0,0,0.2,210,3400
2026-09-23 00:32:00,Normal,,0,0,0,22.1,22.0,-336,0,0,336,61,99,37.1,0,0,0,0.0,0.0,0.2,0.0,0,0.2,210,3400
2026-09-23 00:37:00,Normal,,0,0,0,22.1,22.0,-393,0,0,393,60,99,37.3,0,0,0,0.0,0.0,0.3,0.0,0,0.3,210,3400
2026-09-23 00:42:00,Normal,,0,0,0,22.1,22.0,-365,0,0,365,60,99,37.9,0,0,0,0.0,0.0,0.3,0.0,0,0.3,210,3400
2026-09-23 00:47:00,Normal,,0,0,0,22.1,22.0,-356,0,0,356,60,99,37.1,0,0,0,0.0,0.0,0.3,0.0,0,0.3,210,3400
2026-09-23 00:52:00,Normal,,0,0,0,22.1,22.0,-1546,0,0,1546,59,99,38.2,0,0,0,0.0,0.0,0.4,0.0,0,0.4,210,3400
2026-09-23 00:57:00,Normal,,0,0,0,22.1,22.0,-351,0,0,351,59,99,37.8,0,0,0,0.0,0.0,0.5,0.0,0,0.5,210,3400
2026-09-23 01:02:00,Normal,,0,0,0,22.1,22.0,-448,0,0,448,59,99,38.1,0,0,0,0.0,0.0,0.5,0.0,0,0.5,210,3401
2026-09-23 01:07:00,Normal,,0,0,0,22.1,22.0,-424,0,0,424,59,99,37.6,0,0,0,0.0,0.0,0.5,0.0,0,0.5,210,3401
2026-09-23 01:12:00,Normal,,0,0,0,22.1,22.0,-400,0,0,400,58,99,38.0,0,0,0,0.0,0.0,0.6,0.0,0,0.6,210,3401
2026-09-23 01:17:00,Normal,,0,0,0,22.1,22.0,-425,0,0,425,58,99,37.8,0,0,0,0.0,0.0,0.6,0.0,0,0.6,210,3401
2026-09-23 01:22:00,Normal,,0,0,0,22.1,22.0,-333,0,0,333,58,99,37.9,0,0,0,0.0,0.0,0.6,0.0,0,0.6,210,3401
2026-09-23 01:27:00,Normal,,0,0,0,22.1,22.0,-393,0,0,393,58,99,38.7,0,0,0,0.0,0.0,0.7,0.0,0,0.7,210,3401
2026-09-23 01:32:00,Normal,,0,0,0,22.1,22.0,-420,0,0,420,58,99,37.8,0,0,0,0.0,0.0,0.7,0.0,0,0.7,210,3401
2026-09-23 01:37:00,Normal,,0,0,0,22.1,22.0,-430,0,0,430,57,99,37.1,0,0,0,0.0,0.0,0.7,0.0,0,0.7,210,3401
2026-09-23 01:42:00,Normal,,0,0,0,22.1,22.0,-335,0,0,335,57,99,38.2,0,0,0,0.0,0.0,0.8,0.0,0,0.8,210,3401
2026-09-23 01:47:00,Normal,,0,0,0,22.1,22.0,-371,0,0,371,57,99,37.9,0,0,0,0.0,0.0,0.8,0.0,0,0.8,210,3401
2026-09-23 01:52:00,Normal,,0,0,0,22.1,22.0,-1528,0,0,1528,56,99,37.2,0,0,0,0.0,0.0,0.9,0.0,0,0.9,210,3401
2026-09-23 01:57:00,Normal,,0,0,0,22.1,22.0,-315,0,0,315,56,99,37.2,0,0,0,0.0,0.0,1.0,0.0,0,1.0,210,3401
2026-09-23 02:02:00,Normal,,0,0,0,22.1,22.0,-390,0,0,390,56,99,39.0,0,0,0,0.0,0.0,1.0,0.0,0,1.0,210,3401
2026-09-23 02:07:00,Normal,,0,0,0,22.1,22.0,-394,0,0,394,56,99,37.6,0,0,0,0.0,0.0,1.0,0.0,0,1.0,210,3401
2026-09-23 02:12:00,Normal,,0,0,0,22.1,22.0,-1635,0,0,1635,55,99,37.1,0,0,0,0.0,0.0,1.2,0.0,0,1.2,210,3401
