Time,Battery Temp Min(C),Battery Temp Max(C),Cell Min(V),Cell Max(V),SOC(%)
2026-09-23 00:02:00,28,29,3.269,3.275,62
2026-09-23 00:17:00,28,29,3.267,3.273,61
2026-09-23 00:32:00,28,29,3.269,3.275,61
2026-09-23 00:47:00,28,29,3.269,3.275,60
2026-09-23 01:02:00,28,29,3.267,3.273,59
2026-09-23 01:17:00,28,29,3.263,3.269,58
2026-09-23 01:32:00,28,29,3.269,3.275,58
2026-09-23 01:47:00,28,29,3.263,3.269,57
2026-09-23 02:02:00,28,29,3.268,3.274,56
2026-09-23 02:17:00,28,29,3.262,3.268,55
2026-09-23 02:32:00,28,29,3.257,3.263,53
2026-09-23 02:47:00,28,29,3.259,3.265,53
2026-09-23 03:02:00,28,29,3.256,3.262,52
2026-09-23 03:17:00,28,29,3.26,3.266,50
2026-09-23 03:32:00,28,29,3.258,3.264,50
2026-09-23 03:47:00,28,29,3.255,3.261,49
2026-09-23 04:02:00,28,29,3.251,3.257,48
2026-09-23 04:17:00,28,29,3.251,3.257,47
2026-09-23 04:32:00,28,29,3.253,3.259,47
2026-09-23 04:47:00,28,29,3.252,3.258,45
2026-09-23 05:02:00,28,29,3.249,3.255,45
2026-09-23 05:17:00,28,29,3.251,3.257,44
2026-09-23 05:32:00,28,29,3.25,3.256,44
2026-09-23 05:47:00,28,29,3.252,3.258,43
2026-09-23 06:02:00,28,29,3.245,3.251,41
2026-09-23 06:17:00,28,29,3.243,3.249,41
2026-09-23 06:32:00,28,29,3.247,3.253,40
2026-09-23 06:47:00,28,29,3.245,3.251,40
2026-09-23 07:02:00,28,29,3.245,3.251,39
2026-09-23 07:17:00,28,29,3.246,3.252,40
2026-09-23 07:32:00,28,29,3.245,3.251,41
2026-09-23 07:47:00,28,29,3.249,3.255,43
2026-09-23 08:02:00,28,29,3.251,3.257,45
2026-09-23 08:17:00,29,30,3.257,3.263,47
2026-09-23 08:32:00,29,30,3.258,3.264,50
2026-09-23 08:47:00,29,30,3.262,3.268,53
2026-09-23 09:02:00,29,30,3.269,3.275,57
2026-09-23 09:17:00,30,31,3.27,3.276,62
2026-09-23 09:32:00,29,30,3.279,3.285,67
2026-09-23 09:47:00,30,31,3.284,3.29,73
2026-09-23 10:02:00,30,31,3.288,3.294,78
2026-09-23 10:17:00,30,31,3.3,3.306,84
2026-09-23 10:32:00,30,31,3.304,3.31,91
2026-09-23 10:47:00,31,32,3.318,3.324,98
2026-09-23 11:02:00,31,32,3.317,3.323,100
2026-09-23 11:17:00,31,32,3.32,3.326,100
2026-09-23 11:32:00,31,32,3.32,3.326,100
2026-09-23 11:47:00,31,32,3.316,3.322,100
2026-09-23 12:02:00,31,32,3.32,3.326,100
2026-09-23 12:17:00,32,33,3.314,3.32,100
