Time,Today Yield(kWh),Energy to Grid(kWh),Energy from Grid(kWh),Energy to Battery(kWh),Energy from Battery(kWh),Load Consumption(kWh),Generation(kWh),GEN(kWh),Smart Load(kWh),AC Coupled(kWh)
2026-03-29,31.51,0,3.65,15.0,13.88,34.04,31.51,0,0,0
2026-03-30,28.46,0.05,2.55,15.0,13.97,29.98,28.46,0,0,0
2026-03-31,28.57,0,3.04,15.0,13.68,30.29,28.57,0,0,0
2026-04-01,31.86,0.05,4.44,14.76,13.29,34.83,31.86,0,0,0
2026-04-02,30.65,0,3.95,15.0,13.69,33.29,30.65,0,0,0
2026-04-03,26.33,0,1.69,15.0,13.89,26.91,26.33,0,0,0
2026-04-04,32.41,0,2.38,15.0,13.72,33.51,32.41,0,0,0
2026-04-05,31.84,0.05,2.56,15.0,13.77,33.17,31.84,0,0,0
2026-04-06,30.39,0.05,2.56,15.0,14.15,32.11,30.39,0,0,0
2026-04-07,26.49,0.05,8.93,11.92,11.23,34.73,26.49,0,0,0
2026-04-08,21.41,0,12.33,9.63,8.95,33.05,21.41,0,0,0
2026-04-09,31.11,0.05,3.29,15.0,14.0,33.41,31.11,0,0,0
2026-04-10,25.57,0.05,9.7,11.51,10.49,34.25,25.57,0,0,0
2026-04-11,28.05,0,3.95,13.48,12.78,31.29,28.05,0,0,0
2026-04-12,23.98,0.05,9.06,10.79,9.88,32.13,23.98,0,0,0
2026-04-13,30.19,0,3.58,15.0,13.65,32.42,30.19,0,0,0
2026-04-14,31.91,0.05,2.65,15.0,13.95,33.51,31.91,0,0,0
2026-04-15,29.89,0.05,4.94,13.45,12.57,33.95,29.89,0,0,0
2026-04-16,29.86,0,3.58,15.0,14.18,32.62,29.86,0,0,0
2026-04-17,21.65,0,13.61,9.74,8.98,34.49,21.65,0,0,0
2026-04-18,17.24,0.05,18.66,7.76,7.36,35.5,17.24,0,0,0
2026-04-19,30.77,0,2.43,15.0,14.18,32.37,30.77,0,0,0
2026-04-20,30.08,0,1.54,15.0,13.84,30.46,30.08,0,0,0
2026-04-21,25.13,0,9.51,11.31,10.65,33.97,25.13,0,0,0
2026-04-22,32.63,0,5.66,14.68,13.77,37.37,32.63,0,0,0
2026-04-23,32.49,0.05,3.79,15.0,13.94,35.22,32.49,0,0,0
2026-04-24,27.15,0,2.68,13.66,12.67,28.84,27.15,0,0,0
2026-04-25,30.77,0,1.71,15.0,13.88,31.36,30.77,0,0,0
2026-04-26,30.55,0.05,2.27,15.0,14.19,32.0,30.55,0,0,0
2026-04-27,29.82,0,4.33,13.42,12.62,33.34,29.82,0,0,0
2026-04-28,30.67,0,3.88,13.82,13.02,33.74,30.67,0,0,0
2026-04-29,31.75,0,2.63,15.0,14.01,33.39,31.75,0,0,0
2026-04-30,25.61,0,7.16,11.52,10.73,31.97,25.61,0,0,0
2026-05-01,24.43,0,9.45,10.99,10.22,33.11,24.43,0,0,0
2026-05-02,27.59,0,3.99,12.42,11.58,30.74,27.59,0,0,0
2026-05-03,20.19,0,14.16,9.09,8.26,33.53,20.19,0,0,0
2026-05-04,32.18,0,2.79,15.0,14.09,34.06,32.18,0,0,0
2026-05-05,33.19,0.05,3.66,15.0,13.79,35.64,33.19,0,0,0
2026-05-06,29.95,0.05,1.94,15.0,13.64,30.53,29.95,0,0,0
2026-05-07,19.42,0,13.01,8.74,8.05,31.73,19.42,0,0,0
2026-05-08,23.07,0,9.18,10.38,9.62,31.48,23.07,0,0,0
2026-05-09,28.51,0.05,3.88,15.0,13.67,31.07,28.51,0,0,0
2026-05-10,25.55,0,5.74,11.5,10.8,30.59,25.55,0,0,0
2026-05-11,30.64,0,2.91,15.0,13.62,32.16,30.64,0,0,0
2026-05-12,32.34,0,3.19,15.0,13.92,34.44,32.34,0,0,0
2026-05-13,22.58,0,7.56,10.16,9.49,29.47,22.58,0,0,0
2026-05-14,31.79,0,1.81,15.0,13.58,32.17,31.79,0,0,0
2026-05-15,28.37,0,2.77,13.29,12.38,30.23,28.37,0,0,0
2026-05-16,27.28,0,3.8,12.28,11.62,30.43,27.28,0,0,0
2026-05-17,31.5,0.05,3.44,15.0,14.17,34.11,31.5,0,0,0
2026-05-18,30.82,0,2.27,14.97,13.65,31.77,30.82,0,0,0
2026-05-19,26.15,0.05,2.84,11.86,11.23,28.36,26.15,0,0,0
2026-05-20,22.72,0,8.52,10.22,9.52,30.54,22.72,0,0,0
2026-05-21,23.23,0,7.68,10.45,9.63,30.09,23.23,0,0,0
2026-05-22,24.74,0.05,4.24,11.3,10.56,28.23,24.74,0,0,0
2026-05-23,26.35,0,11.54,11.86,10.7,36.74,26.35,0,0,0
2026-05-24,28.01,0,7.41,12.61,11.8,34.62,28.01,0,0,0
2026-05-25,27.32,0,6.58,12.29,11.43,33.03,27.32,0,0,0
2026-05-26,29.58,0,2.79,13.31,12.65,31.71,29.58,0,0,0
2026-05-27,31.07,0,3.13,14.64,13.44,33.0,31.07,0,0,0
