Time,Code,Cloud(%),Rain(mm),Radiation(W/m2)
2026-09-22 00:00,1,15,0,0
2026-09-22 01:00,1,15,0,0
2026-09-22 02:00,1,15,0,0
2026-09-22 03:00,1,15,0,0
2026-09-22 04:00,1,15,0,0
2026-09-22 05:00,1,15,0,0
2026-09-22 06:00,1,15,0,68
2026-09-22 07:00,1,15,0,291
2026-09-22 08:00,2,45,0,396
2026-09-22 09:00,2,45,0,534
2026-09-22 10:00,2,45,0,638
2026-09-22 11:00,3,95,0,351
2026-09-22 12:00,3,95,0,360
2026-09-22 13:00,3,95,0,346
2026-09-22 14:00,61,100,1.6,155
2026-09-22 15:00,61,100,1.9,127
2026-09-22 16:00,61,100,2.8,91
2026-09-22 17:00,1,15,0,248
2026-09-22 18:00,1,15,0,23
2026-09-22 19:00,1,15,0,0
2026-09-22 20:00,1,15,0,0
2026-09-22 21:00,1,15,0,0
2026-09-22 22:00,1,15,0,0
2026-09-22 23:00,1,15,0,0
2026-09-23 00:00,1,15,0,0
2026-09-23 01:00,1,15,0,0
2026-09-23 02:00,1,15,0,0
2026-09-23 03:00,1,15,0,0
2026-09-23 04:00,1,15,0,0
2026-09-23 05:00,1,15,0,0
2026-09-23 06:00,1,15,0,68
2026-09-23 07:00,1,15,0,291
2026-09-23 08:00,2,45,0,396
2026-09-23 09:00,2,45,0,534
2026-09-23 10:00,2,45,0,638
2026-09-23 11:00,3,95,0,351
2026-09-23 12:00,3,95,0,360
2026-09-23 13:00,3,95,0,346
2026-09-23 14:00,61,100,1.7,155
2026-09-23 15:00,61,100,1.8,127
2026-09-23 16:00,61,100,2.0,91
2026-09-23 17:00,1,15,0,248
2026-09-23 18:00,1,15,0,23
2026-09-23 19:00,1,15,0,0
2026-09-23 20:00,1,15,0,0
2026-09-23 21:00,1,15,0,0
2026-09-23 22:00,1,15,0,0
2026-09-23 23:00,1,15,0,0
